,trial_num,frame,val_reward,proportion,std_weights,noisy_weights,std_buffer_example_count,noisy_buffer_example_count
0,0,0,9.4,0.47693452380952384,0.00668160112619349,0.004033410131874132,73,127
1,1,200,9.3,0.44021739130434784,0.0034142808436108778,0.0017053447007149571,186,214
2,2,400,9.6,0.4032790492957746,0.0023895855612366436,0.000994886666774621,289,311
3,3,600,14.5,0.3863932291666667,0.0016758062812191406,0.0008284305323512349,398,402
4,4,800,26.9,0.3789708161157025,0.0012776302897918868,0.000743725810795636,480,520
5,5,1000,9.8,0.3737157534246575,0.0011171391678948118,0.0005560731399998287,593,607
6,6,1200,9.1,0.36988304093567254,0.000989496320840549,0.00044297884320177133,695,705
7,7,1400,8.9,0.36332110969387754,0.0008637938831656891,0.0003926839428218467,789,811
8,8,1600,9.4,0.3597992081447964,0.0007549558931159953,0.00036226382913155073,886,914
9,9,1800,9.4,0.35369029471544716,0.0007021042881987611,0.0002999067016062294,995,1005
10,10,2000,9.0,0.3490111854243542,0.0006156120884779854,0.0002917121034261445,1106,1094
11,11,2200,8.7,0.34529402449324326,0.0005788198513720507,0.00025096167942754153,1213,1187
12,12,2400,9.2,0.3420828465732087,0.0005235862775178876,0.00023750210466915993,1337,1263
13,13,2600,9.9,0.3383196351156069,0.0004815203120285372,0.0002252606001280309,1441,1359
14,14,2800,9.1,0.33573744946091644,0.00045987333694590425,0.00019679642046201834,1557,1443
15,15,3000,9.6,0.3336785827020202,0.00042340560296701157,0.00019265270188561825,1662,1538
16,16,3200,9.2,0.33077865201900236,0.0004025015237967706,0.0001744661384917779,1784,1616
17,17,3400,9.2,0.3279235566143498,0.00037869513115579653,0.00016586416718840475,1893,1707
18,18,3600,9.4,0.32453390392781317,0.000365654526874523,0.00014975255185454707,1996,1804
19,19,3800,10.9,0.32136781754032256,0.0003418021410409576,0.00014812676035732978,2104,1896
20,20,4000,32.8,0.318633037428023,0.0003398504244990151,0.00012605761347127392,2201,1999
21,21,4200,9.5,0.3160485347985348,0.00032008303460098314,0.00012562334459519662,2300,2100
22,22,4400,18.4,0.31333461033274956,0.0003054481115853774,0.000119980471529901,2416,2184
23,23,4600,10.6,0.31093356753355705,0.00029872372582559074,0.00010792605221778317,2526,2274
24,24,4800,64.9,0.30893342391304346,0.00028584012272841406,0.000104436630377213,2634,2366
25,25,5000,24.4,0.30699134094427244,0.00027594553344049467,9.907817830263759e-05,2741,2459
26,26,5200,17.3,0.30434402943368105,0.0002727548201020448,8.810973607737201e-05,2839,2561
27,27,5400,21.3,0.3015557650862069,0.0002590408124754214,8.924860176158793e-05,2946,2654
28,28,5600,80.3,0.2992642597087379,0.0002562377200192238,7.880022138565478e-05,3060,2740
29,29,5800,56.6,0.29678074731903487,0.0002449462923435401,7.956680061473391e-05,3160,2840
30,30,6000,62.7,0.29426070038910507,0.00024108526066497229,7.286743895618418e-05,3259,2941
31,31,6200,43.8,0.29158978486180903,0.00023381499417684807,7.035897375194632e-05,3363,3037
32,32,6400,60.3,0.2893384591961023,0.00023206548259563803,6.264795877886412e-05,3462,3138
33,33,6600,80.7,0.28692929964539005,0.00022302506809898485,6.363894742882932e-05,3559,3241
34,34,6800,152.0,0.28415614236509756,0.0002222758730585755,5.5229260799982693e-05,3672,3328
35,35,7000,91.2,0.28132411411830355,0.0002162460031211115,5.372156164349049e-05,3773,3427
36,36,7200,87.7,0.27873490092290987,0.00021348267108720474,4.905506479301119e-05,3874,3526
37,37,7400,120.1,0.2758613570295983,0.0002072549576915625,4.894566528949328e-05,3967,3633
38,38,7600,90.8,0.27325244593202885,0.0002067480598483964,4.2546811558629986e-05,4069,3731
39,39,7800,168.6,0.27075881651606426,0.0002025199665193401,4.068287352362488e-05,4168,3832
40,40,8000,155.4,0.2678899363369246,0.00019977820995259812,3.759743128682396e-05,4265,3935
41,41,8200,181.1,0.2651656608508604,0.0001940130427422958,3.791253513471655e-05,4366,4034
42,42,8400,185.2,0.26269257703081234,0.00019156536219488765,3.4946575860712374e-05,4466,4134
43,43,8600,133.4,0.26002580406021897,0.00018957881655060115,3.1664472013902635e-05,4568,4232
44,44,8800,147.6,0.25725496208742193,0.00018510568951136746,3.1483730235050715e-05,4665,4335
45,45,9000,118.7,0.25460842059336825,0.00018173761603385838,3.032120432244662e-05,4762,4438
46,46,9200,152.7,0.2520215093936806,0.00017900470480152467,2.8044027835151753e-05,4878,4522
47,47,9400,175.6,0.2492912573160535,0.00017827018905682918,2.472090342123534e-05,4967,4633
48,48,9600,165.0,0.24647765663390664,0.00017572683100850164,2.2928910649512207e-05,5074,4726
49,49,9800,159.0,0.24379890650080258,0.00017135064877402524,2.3534926141252663e-05,5173,4827
