,trial_num,frame,val_reward,proportion,std_weights,noisy_weights,std_buffer_example_count,noisy_buffer_example_count
0,0,0,9.8,0.7392113095238095,0.0007892153030451063,0.008376214755903551,89,111
1,1,200,9.6,0.8351732336956522,0.0004937183563854957,0.004174969305937555,182,218
2,2,400,21.8,0.8606404049295775,0.00038221274885276267,0.0029597123547163784,301,299
3,3,600,11.9,0.8708902994791666,0.0002776688111145079,0.0021983229801584075,395,405
4,4,800,8.9,0.8764204545454546,0.0002394541987879136,0.0017484736054895968,496,504
5,5,1000,9.4,0.8629869434931506,0.000334499907727263,0.0013473595453650504,609,591
6,6,1200,9.4,0.8499406067251462,0.0002926602825092178,0.0011776311007595196,733,667
7,7,1400,9.1,0.8395049426020408,0.0002783017377016348,0.0010053229539981547,837,763
8,8,1600,9.5,0.8304581447963801,0.00023750936036400844,0.000911812230174479,951,849
9,9,1800,9.3,0.8214716717479674,0.0002383447178482873,0.0007926991007861481,1056,944
10,10,2000,9.2,0.8105108394833949,0.00023144743357771116,0.0007079674950925869,1170,1030
11,11,2200,9.0,0.8012299408783784,0.00024380755450935867,0.0006168847973424445,1288,1112
12,12,2400,9.5,0.7960353387850467,0.00019873962160843201,0.0005981421463399205,1390,1210
13,13,2600,9.3,0.7915123735549133,0.0001664017137034372,0.000570392053639466,1478,1322
14,14,2800,9.2,0.7885044642857143,0.000169815908289011,0.0005164959803046468,1585,1415
15,15,3000,9.8,0.7865076546717171,0.00012970129676015646,0.0005135306442780515,1676,1524
16,16,3200,9.9,0.7852397565320665,0.00012677328738197802,0.0004754073392686063,1768,1632
17,17,3400,17.1,0.7856292040358744,0.0001118475940090708,0.00045614076924084394,1865,1735
18,18,3600,10.9,0.7855294585987261,0.00010572258737866744,0.00043317425966925467,1973,1827
19,19,3800,10.4,0.7858492943548387,8.91122191161023e-05,0.0004229042911563368,2072,1928
20,20,4000,9.9,0.7856960772552783,9.074615040219148e-05,0.0003971155521124427,2180,2020
21,21,4200,67.5,0.7855855082417582,9.426857933212982e-05,0.00037044519316560673,2281,2119
22,22,4400,169.6,0.7853820052539404,9.593659876463329e-05,0.0003466958604399004,2372,2228
23,23,4600,200.0,0.7856347000838926,7.93301784963509e-05,0.00034508773360240636,2470,2330
24,24,4800,131.2,0.7859299516908212,7.906643686499823e-05,0.00032627323161062984,2554,2446
25,25,5000,62.2,0.7863111938854489,8.130246683510238e-05,0.00030855724631194566,2660,2540
26,26,5200,129.6,0.7860353017883756,7.07706936478026e-05,0.0003048890008553349,2761,2639
27,27,5400,200.0,0.7858914780890804,7.291908475219957e-05,0.0002894831626844377,2868,2732
28,28,5600,178.4,0.786597390776699,6.992986246012486e-05,0.00027915435622722387,2959,2841
29,29,5800,200.0,0.7869418146782842,6.689538134141415e-05,0.00027134475052444253,3072,2928
30,30,6000,148.0,0.7869852464332037,6.569655279215922e-05,0.00026104307567692125,3166,3034
31,31,6200,199.5,0.7871240970477387,6.285866023092385e-05,0.0002535140494882452,3265,3135
32,32,6400,200.0,0.7874923873325214,6.132617547822596e-05,0.0002458417585187953,3374,3226
33,33,6600,198.7,0.7875618720449172,5.391472678423097e-05,0.00024434762848279197,3474,3326
34,34,6800,200.0,0.7876228831802525,5.448202035597521e-05,0.00023621700696892326,3596,3404
35,35,7000,112.5,0.7879595075334821,4.980662726761933e-05,0.00023332373493849576,3705,3495
36,36,7200,172.8,0.7879131039630836,4.950076953740036e-05,0.00022542922205293623,3798,3602
37,37,7400,139.8,0.7880178052325582,5.191561058591001e-05,0.0002162144843204577,3915,3685
38,38,7600,200.0,0.7883343524716787,5.574109299178631e-05,0.00020578608349573266,4033,3767
39,39,7800,187.7,0.7885918674698795,5.313356589177167e-05,0.0002019638717114795,4137,3863
40,40,8000,200.0,0.7885039177277179,4.914891238426941e-05,0.00020005358778179313,4244,3956
41,41,8200,189.2,0.7883678895793499,4.717855218932044e-05,0.00019675738061096802,4364,4036
42,42,8400,154.9,0.788358572595705,4.216863441521608e-05,0.00019630399531089682,4465,4135
43,43,8600,123.9,0.7886490647810219,5.004239464383637e-05,0.00018202988379333927,4560,4240
44,44,8800,199.5,0.788675708073149,4.3737638857691634e-05,0.0001836456382909803,4666,4334
45,45,9000,196.2,0.7886841459424084,4.1274490999815165e-05,0.0001816081430803123,4780,4420
46,46,9200,191.2,0.788525432322801,4.397653083334471e-05,0.00017375984781065843,4880,4520
47,47,9400,198.4,0.7884582723662207,4.586497496829801e-05,0.00016716887449964456,4986,4614
48,48,9600,179.3,0.7884514486076986,3.970754728529534e-05,0.00016956853320320168,5096,4704
49,49,9800,147.9,0.7882285814606742,4.2411218107272936e-05,0.00016231290790060397,5197,4803
